coach,team,year_w_team,season
Scott Brooks,OKC,4,2011-2012
Stan Van Gundy,ORL,5,2011-2012
Doug Collins,PHI,2,2011-2012
Alvin Gentry,PHO,4,2011-2012
Nate McMillan,POR,7,2011-2012
Kaleb Canales,POR,1,2011-2012
Paul Westphal,SAC,3,2011-2012
Keith Smart,SAC,1,2011-2012
Gregg Popovich,SAS,16,2011-2012
Dwane Casey,TOR,1,2011-2012
Tyrone Corbin,UTA,2,2011-2012
Flip Saunders,WAS,3,2011-2012
Larry Drew,ATL,3,2012-2013
Doc Rivers,BOS,9,2012-2013
Avery Johnson,BRK,3,2012-2013
P.J. Carlesimo,BRK,1,2012-2013
Mike Dunlap,CHA,1,2012-2013
Tom Thibodeau,CHI,3,2012-2013
Byron Scott,CLE,3,2012-2013
Rick Carlisle,DAL,5,2012-2013
George Karl,DEN,9,2012-2013
Lawrence Frank,DET,2,2012-2013
Mark Jackson,GSW,2,2012-2013
Kevin McHale,HOU,2,2012-2013
Frank Vogel,IND,3,2012-2013
Vinny Del Negro,LAC,3,2012-2013
Mike Brown,LAL,2,2012-2013
Bernie Bickerstaff,LAL,1,2012-2013
Mike D'Antoni,LAL,1,2012-2013
Lionel Hollins,MEM,7,2012-2013
Erik Spoelstra,MIA,5,2012-2013
Scott Skiles,MIL,5,2012-2013
Jim Boylan,MIL,1,2012-2013
Rick Adelman,MIN,2,2012-2013
Monty Williams,NOH,3,2012-2013
Mike Woodson,NYK,2,2012-2013
Scott Brooks,OKC,5,2012-2013
Jacque Vaughn,ORL,1,2012-2013
Doug Collins,PHI,3,2012-2013
Alvin Gentry,PHO,5,2012-2013
Lindsey Hunter,PHO,1,2012-2013
Terry Stotts,POR,1,2012-2013
Keith Smart,SAC,2,2012-2013
Gregg Popovich,SAS,17,2012-2013
Dwane Casey,TOR,2,2012-2013
Tyrone Corbin,UTA,3,2012-2013
Mike Budenholzer,ATL,1,2013-2014
Brad Stevens,BOS,1,2013-2014
Jason Kidd,BRK,1,2013-2014
Steve Clifford,CHA,1,2013-2014
Tom Thibodeau,CHI,4,2013-2014
Mike Brown,CLE,6,2013-2014
